Const,Created,Description,Title,Original Title,URL,Title Type,Genres,Your Rating,Date Rated,Formato
tt9764386,2023-01-14,,30 Monedas,30 Monedas,https://www.imdb.com/title/tt9764386/,Serie,"Drama, Fantasía, Terror, Misterio, Suspense",7,2025-02-13,br
tt1535108,2023-01-14,,Elysium,Elysium,https://www.imdb.com/title/tt1535108/,Película,"Acción, Drama, Ciencia ficción, Suspense",7,2023-01-22,br
tt1764234,2023-01-27,,Mátalos suavemente,Killing Them Softly,https://www.imdb.com/title/tt1764234/,Película,"Crimen, Drama, Suspense",6,2023-02-18,br
tt0840361,2023-01-27,,The Town: Ciudad de ladrones,The Town,https://www.imdb.com/title/tt0840361/,Película,"Crimen, Drama, Suspense",8,2023-02-26,br
tt7959026,2023-01-27,,Mula,The Mule,https://www.imdb.com/title/tt7959026/,Película,"Crimen, Drama, Suspense",7,2019-03-23,br
tt2080374,2023-01-27,,Steve Jobs,Steve Jobs,https://www.imdb.com/title/tt2080374/,Película,"Biografía, Drama",7,2023-02-23,br
tt10883660,2023-02-20,,Antidisturbios,Antidisturbios,https://www.imdb.com/title/tt10883660/,Serie,"Acción, Crimen, Drama, Suspense",8,2023-10-27,br
tt1502397,2023-02-20,,Bad Boys for Life,Bad Boys for Life,https://www.imdb.com/title/tt1502397/,Película,"Acción, Comedia, Crimen, Suspense",7,2023-04-09,br
tt1060277,2023-02-20,,Monstruoso,Cloverfield,https://www.imdb.com/title/tt1060277/,Película,"Acción, Terror, Ciencia ficción, Suspense",7,2023-04-07,br
tt2312718,2023-02-20,,El protector (Homefront),Homefront,https://www.imdb.com/title/tt2312718/,Película,"Acción, Crimen, Suspense",7,2023-04-28,br
tt2543472,2023-03-12,,Wonder,Wonder,https://www.imdb.com/title/tt2543472/,Película,"Drama, Familiar",8,2020-05-22,br
tt1285482,2023-03-25,,Dead set: Muerte en directo,Dead Set,https://www.imdb.com/title/tt1285482/,MiniSerie,"Drama, Terror, Reality, Ciencia ficción, Suspense",8,2023-03-26,br
tt6133466,2023-04-08,,La primera purga: La noche de las bestias,The First Purge,https://www.imdb.com/title/tt6133466/,Película,"Acción, Terror, Ciencia ficción, Suspense",7,2018-10-10,br
tt1319743,2023-04-08,,Ases calientes 2: Baile de asesinos,Smokin' Aces 2: Assassins' Ball,https://www.imdb.com/title/tt1319743/,Vídeo,"Acción, Comedia, Crimen, Suspense",6,2023-06-18,br
